city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z
Sydney,-0.29719786495801476,0.6380490186149377,Australia,AU,New South Wales,admin,20.773757135760366,20.7390716814777,-0.29719786495801476,0.6380490186149377,20.773757135760366
Melbourne,-0.9537383814516714,-0.021759570982727704,Australia,AU,Victoria,admin,19.854597893316253,19.40011935221179,-0.9537383814516714,-0.021759570982727704,19.854597893316253
Brisbane,0.7664755869270135,0.8301617704682397,Australia,AU,Queensland,admin,9.781799799287594,10.063782512510592,0.7664755869270135,0.8301617704682397,9.781799799287594
Perth,0.02084668246362005,-3.0960917601776745,Australia,AU,Western Australia,admin,7.995495112621192,8.682044824500766,0.02084668246362005,-3.0960917601776745,7.995495112621192
Adelaide,-0.4740943486478287,-0.693789772385214,Australia,AU,South Australia,admin,5.191672462507674,5.482133826504638,-0.4740943486478287,-0.693789772385214,5.191672462507674
Gold Coast,0.6752090394156505,0.8694462772116525,Australia,AU,Queensland,,2.572714865485118,2.651766785099412,0.6752090394156505,0.8694462772116525,2.572714865485118
Canberra,-0.5346505093394642,0.418070569319014,Australia,AU,Australian Capital Territory,primary,1.5810623739029914,1.5473699815176332,-0.5346505093394642,0.418070569319014,1.5810623739029914
Newcastle,-0.13952239218514914,0.695153628309718,Australia,AU,New South Wales,,1.1708212188340987,0.5639049765463123,-0.13952239218514914,0.695153628309718,1.1708212188340987
Wollongong,-0.39165682950748726,0.6035813268957276,Australia,AU,New South Wales,,1.09406158111082,1.1503239182600349,-0.39165682950748726,0.6035813268957276,1.09406158111082
Geelong,-1.0096721883068769,-0.0865224940383496,Australia,AU,Victoria,,0.9390455339782722,0.7294168723169645,-1.0096721883068769,-0.0865224940383496,0.9390455339782722
Hobart,-1.7962371904151924,0.22773243352725778,Australia,AU,Tasmania,admin,0.8489328071193456,0.8624771430067264,-1.7962371904151924,0.22773243352725778,0.8489328071193456
Townsville,2.13179919456922,0.17420874552810078,Australia,AU,Queensland,,0.615098570128456,0.6743653157639582,2.13179919456922,0.17420874552810078,0.615098570128456
Ipswich,0.7417177277095931,0.8025495896058354,Australia,AU,Queensland,,0.5450920833978748,0.6070131299694155,0.7417177277095931,0.8025495896058354,0.5450920833978748
Cairns,2.5185638441705707,0.0635065054982662,Australia,AU,Queensland,,0.5047421044298727,0.5371947928258873,2.5185638441705707,0.0635065054982662,0.5047421044298727
Toowoomba,0.750031313746336,0.7162800099947997,Australia,AU,Queensland,,0.4424041172558624,0.48921889564065063,0.750031313746336,0.7162800099947997,0.4424041172558624
Darwin,3.265489668055696,-1.5134933817664291,Australia,AU,Northern Territory,admin,0.4422744756137687,0.49437069872046835,3.265489668055696,-1.5134933817664291,0.4422744756137687
Ballarat,-0.9099091558659624,-0.13933844825105682,Australia,AU,Victoria,,0.319087415882521,0.3295947748183615,-0.9099091558659624,-0.13933844825105682,0.319087415882521
Bendigo,-0.7768917792780772,-0.09532163201018751,Australia,AU,Victoria,,0.2941451496506209,0.31687236052935464,-0.7768917792780772,-0.09532163201018751,0.2941451496506209
Launceston,-1.5570220657939529,0.20871869001068538,Australia,AU,Tasmania,,0.24781201247326537,0.28132621045732903,-1.5570220657939529,0.20871869001068538,0.24781201247326537
Mackay,1.8184268825002337,0.4243239782977989,Australia,AU,Queensland,,0.21960513398137016,-0.07877922971415763,1.8184268825002337,0.4243239782977989,0.21960513398137016
Rockhampton,1.4469924855506369,0.5643496361065262,Australia,AU,Queensland,,0.21349233412992316,0.24372708622567688,1.4469924855506369,0.5643496361065262,0.21349233412992316
Maitland,-0.10626804803817845,0.6740272466246363,Australia,AU,New South Wales,,0.21122556966058847,-0.08641439985918403,-0.10626804803817845,0.6740272466246363,0.21122556966058847
Bunbury,-0.20879119104329102,-3.119922318718448,Australia,AU,Western Australia,,0.19687856126888909,0.21143901044890778,-0.20879119104329102,-3.119922318718448,0.19687856126888909
Coffs Harbour,0.29519502167613465,0.8397531477532675,Australia,AU,New South Wales,,0.18689615482767657,0.016307474916095566,0.29519502167613465,0.8397531477532675,0.18689615482767657
Bundaberg,1.2017416974667223,0.758532773364966,Australia,AU,Queensland,,0.18335654514505859,0.20907184946820617,1.2017416974667223,0.758532773364966,0.18335654514505859
Wagga Wagga,-0.5056859755874512,0.2323696743071343,Australia,AU,New South Wales,,0.12647529254280906,0.13965377772686946,-0.5056859755874512,0.2323696743071343,0.12647529254280906
Hervey Bay,1.1293636174308392,0.8137571350897747,Australia,AU,Queensland,,0.11952964335427559,0.14078571106855037,1.1293636174308392,0.8137571350897747,0.11952964335427559
Shepparton,-0.7159199392846048,0.024391009808336694,Australia,AU,Victoria,,0.10757511253939579,0.039742368625040866,-0.7159199392846048,0.024391009808336694,0.10757511253939579
Albury,-0.6655894894181633,0.18450785659957827,Australia,AU,New South Wales,,0.09320846147465188,-0.07385123094524262,-0.6655894894181633,0.18450785659957827,0.09320846147465188
Port Macquarie,0.10712507835293775,0.8166303229989452,Australia,AU,New South Wales,,0.09320453294004298,0.09841783344304847,0.10712507835293775,0.8166303229989452,0.09320453294004298
