city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z
Ipswich,0.7417177277095938,0.8025495896058333,Australia,AU,Queensland,,0.5450920833978748,0.6070131299694155,0.9231981002847656,1.5806227609281953,-0.032037030854304135
Cairns,2.518563844170571,0.0635065054982641,Australia,AU,Queensland,,0.5047421044298727,0.5371947928258873,0.7438120204015505,2.600652293669062,2.4876206749549485
Toowoomba,0.7500313137463367,0.7162800099947976,Australia,AU,Queensland,,0.4424041172558624,0.4892188956406507,0.7375795811318583,1.4952255623822917,0.058137662956303106
Darwin,3.2654896680556966,-1.5134933817664311,Australia,AU,Northern Territory,admin,0.4422744756137687,0.4943706987204684,0.6281832253902363,1.753907598056293,4.805961638549332
Ballarat,-0.9099091558659618,-0.1393384482510589,Australia,AU,Victoria,,0.319087415882521,0.3295947748183616,0.6140878031074297,-1.0238738878116895,-0.7638113164439749
Bendigo,-0.7768917792780765,-0.0953216320101896,Australia,AU,Victoria,,0.2941451496506209,0.3168723605293547,0.5694544195974741,-0.8487386321688397,-0.6746883460204988
Launceston,-1.5570220657939522,0.2087186900106833,Australia,AU,Tasmania,,0.2478120124732654,0.2813262104573291,0.5364101631429664,-1.321302622030285,-1.7630347820693537
Mackay,1.8184268825002343,0.4243239782977968,Australia,AU,Queensland,,0.2196051339813702,-0.0787792297141576,0.09461983297649482,2.2422681791492534,1.4095573537364736
Rockhampton,1.4469924855506375,0.5643496361065241,Australia,AU,Queensland,,0.2134923341299232,0.2437270862256769,0.2932201114032509,2.0202255954484456,0.9011089241694258
Maitland,-0.1062680480381778,0.6740272466246342,Australia,AU,New South Wales,,0.2112255696605885,-0.086414399859184,0.1895011952299783,0.5795170399169968,-0.7738666622707784
Bunbury,-0.2087911910432904,-3.11992231871845,Australia,AU,Western Australia,,0.1968785612688891,0.2114390104489078,0.41097904536512253,-3.3315903226402352,2.9030775166070693
Coffs Harbour,0.2951950216761353,0.8397531477532654,Australia,AU,New South Wales,,0.1868961548276766,0.0163074749160956,0.1945069102722202,1.146297119797193,-0.5344668579311276
Bundaberg,1.201741697466723,0.7585327733649639,Australia,AU,Queensland,,0.1833565451450586,0.2090718494682062,0.24974786287334988,1.9696409072599514,0.4601311772615015
Wagga Wagga,-0.5056859755874505,0.2323696743071322,Australia,AU,New South Wales,,0.1264752925428091,0.1396537777268695,0.2525522263677183,-0.2606392476902749,-0.7346571823277877
Hervey Bay,1.12936361743084,0.8137571350897725,Australia,AU,Queensland,,0.1195296433542756,0.1407857110685504,0.14004267930866932,1.9490190815097463,0.32996521439417126
Shepparton,-0.7159199392846042,0.0243910098083346,Australia,AU,Victoria,,0.1075751125393958,0.0397423686250409,0.18871947650018217,-0.6816364996188126,-0.7407775315640379
Albury,-0.6655894894181626,0.1845078565995762,Australia,AU,New South Wales,,0.0932084614746519,-0.0738512309452426,0.1011011070132104,-0.4735862367313087,-0.851453796315152
Port Macquarie,0.1071250783529384,0.8166303229989431,Australia,AU,New South Wales,,0.093204532940043,0.0984178334430485,0.14513733647341456,0.9336971732098963,-0.7015885965125015
Pakenham,-0.9965699767129692,0.0336654913680846,Australia,AU,Victoria,,0.0871074472270317,0.1052653845708597,0.21921865790202885,-0.9508387338174145,-1.0316899496360368
Tamworth,0.1653201806101381,0.6071305590188172,Australia,AU,New South Wales,,0.0731650779000489,-0.0937525988993588,0.011032129396712421,0.7760530774982279,-0.43767614061162935
Caloundra,0.8777446224427805,0.8408094668375186,Australia,AU,Queensland,,0.0669619217525973,0.0831948363726096,0.06046755121720353,1.7226042473848655,0.048091863522445356
Orange,-0.2004776050065468,0.4152290709823669,Australia,AU,New South Wales,,0.0638190940654781,0.0694394791102057,0.11890940661746596,0.22243461347369253,-0.6123356310376281
Dubbo,-0.0298163108442902,0.3625293118689285,Australia,AU,New South Wales,,0.0555652428521812,0.0707091381816729,0.10093789187082926,0.3387628204347467,-0.3885222019270799
Geraldton,0.5492249566148499,-3.228131645709445,Australia,AU,Western Australia,,0.0526424131031603,0.0675070149641421,0.11868436407187533,-2.6961390218233894,3.7672994751603492
Nowra,-0.4665123581823184,0.5736769336204887,Australia,AU,New South Wales,,0.0517467072123313,-0.0549612863192442,0.04629072781307188,0.11419170118074333,-1.0394343733753153
