city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z
Townsville,2.1317991945692203,0.1742087455280987,Australia,AU,Queensland,admin,0.615098570128456,0.6743653157639582,2.1317991945692203,0.1742087455280987,0.615098570128456
Ipswich,0.7417177277095938,0.8025495896058333,Australia,AU,Queensland,admin,0.5450920833978748,0.6070131299694155,0.7417177277095938,0.8025495896058333,0.5450920833978748
Cairns,2.518563844170571,0.06350650549826414,Australia,AU,Queensland,admin,0.5047421044298727,0.5371947928258873,2.518563844170571,0.06350650549826414,0.5047421044298727
Toowoomba,0.7500313137463367,0.7162800099947976,Australia,AU,Queensland,admin,0.4424041172558624,0.4892188956406507,0.7500313137463367,0.7162800099947976,0.4424041172558624
Darwin,3.2654896680556966,-1.5134933817664313,Australia,AU,Northern Territory,admin,0.4422744756137687,0.4943706987204684,3.2654896680556966,-1.5134933817664313,0.4422744756137687
Ballarat,-0.9099091558659618,-0.13933844825105898,Australia,AU,Victoria,admin,0.31908741588252104,0.32959477481836164,-0.9099091558659618,-0.13933844825105898,0.31908741588252104
Bendigo,-0.7768917792780765,-0.09532163201018966,Australia,AU,Victoria,admin,0.2941451496506209,0.31687236052935475,-0.7768917792780765,-0.09532163201018966,0.2941451496506209
Launceston,-1.5570220657939522,0.20871869001068336,Australia,AU,Tasmania,admin,0.24781201247326543,0.28132621045732914,-1.5570220657939522,0.20871869001068336,0.24781201247326543
Mackay,1.8184268825002345,0.42432397829779683,Australia,AU,Queensland,admin,0.21960513398137022,-0.07877922971415764,1.8184268825002345,0.42432397829779683,0.21960513398137022
Rockhampton,1.4469924855506375,0.5643496361065241,Australia,AU,Queensland,admin,0.21349233412992327,0.24372708622567696,1.4469924855506375,0.5643496361065241,0.21349233412992327
Maitland,-0.1062680480381778,0.6740272466246342,Australia,AU,New South Wales,admin,0.21122556966058853,-0.08641439985918407,-0.1062680480381778,0.6740272466246342,0.21122556966058853
Bunbury,-0.20879119104329041,-3.11992231871845,Australia,AU,Western Australia,admin,0.19687856126888917,0.21143901044890784,-0.20879119104329041,-3.11992231871845,0.19687856126888917
Coffs Harbour,0.29519502167613537,0.8397531477532654,Australia,AU,New South Wales,admin,0.18689615482767666,0.0163074749160956,0.29519502167613537,0.8397531477532654,0.18689615482767666
Bundaberg,1.201741697466723,0.7585327733649639,Australia,AU,Queensland,admin,0.1833565451450586,0.20907184946820628,1.201741697466723,0.7585327733649639,0.1833565451450586
Wagga Wagga,-0.5056859755874505,0.2323696743071322,Australia,AU,New South Wales,admin,0.12647529254280918,0.1396537777268695,-0.5056859755874505,0.2323696743071322,0.12647529254280918
Hervey Bay,1.12936361743084,0.8137571350897725,Australia,AU,Queensland,admin,0.11952964335427566,0.14078571106855042,1.12936361743084,0.8137571350897725,0.11952964335427566
Shepparton,-0.7159199392846042,0.02439100980833464,Australia,AU,Victoria,admin,0.10757511253939582,0.039742368625040915,-0.7159199392846042,0.02439100980833464,0.10757511253939582
Albury,-0.6655894894181626,0.18450785659957625,Australia,AU,New South Wales,admin,0.09320846147465198,-0.0738512309452426,-0.6655894894181626,0.18450785659957625,0.09320846147465198
Port Macquarie,0.10712507835293847,0.8166303229989431,Australia,AU,New South Wales,admin,0.09320453294004308,0.09841783344304854,0.10712507835293847,0.8166303229989431,0.09320453294004308
