city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z,cluster
Wagga Wagga,-0.5056859755874512,0.2323696743071343,Australia,AU,New South Wales,,0.126475292542809,0.1396537777268694,0.252552226367718,-0.26063924769027486,-0.7346571823277875,0
Hervey Bay,1.1293636174308392,0.8137571350897747,Australia,AU,Queensland,,0.1195296433542755,0.1407857110685503,0.1400426793086689,1.9490190815097468,0.32996521439417137,1
Shepparton,-0.7159199392846048,0.0243910098083366,Australia,AU,Victoria,,0.1075751125393957,0.0397423686250408,0.18871947650018195,-0.6816364996188127,-0.740777531564038,0
Albury,-0.6655894894181633,0.1845078565995782,Australia,AU,New South Wales,,0.0932084614746518,-0.0738512309452426,0.10110110701321023,-0.4735862367313088,-0.8514537963151521,0
Port Macquarie,0.1071250783529377,0.8166303229989452,Australia,AU,New South Wales,,0.0932045329400429,0.0984178334430484,0.14513733647341412,0.9336971732098965,-0.7015885965125015,1
Pakenham,-0.99656997671297,0.0336654913680867,Australia,AU,Victoria,,0.0871074472270316,0.1052653845708596,0.2192186579020286,-0.9508387338174146,-1.031689949636037,0
Tamworth,0.1653201806101374,0.6071305590188193,Australia,AU,New South Wales,,0.0731650779000488,-0.0937525988993588,0.011032129396712128,0.7760530774982282,-0.4376761406116294,1
Caloundra,0.8777446224427798,0.8408094668375207,Australia,AU,Queensland,,0.0669619217525972,0.0831948363726095,0.0604675512172031,1.7226042473848657,0.048091863522445426,1
Orange,-0.2004776050065474,0.415229070982369,Australia,AU,New South Wales,,0.063819094065478,0.0694394791102056,0.11890940661746563,0.22243461347369267,-0.6123356310376281,0
Dubbo,-0.0298163108442908,0.3625293118689306,Australia,AU,New South Wales,,0.0555652428521811,0.0707091381816728,0.10093789187082895,0.3387628204347468,-0.38852220192707987,0
Geraldton,0.5492249566148493,-3.2281316457094427,Australia,AU,Western Australia,,0.0526424131031602,0.067507014964142,0.1186843640718762,-2.6961390218233903,3.7672994751603492,3
Nowra,-0.466512358182319,0.5736769336204908,Australia,AU,New South Wales,,0.0517467072123312,-0.0549612863192442,0.046290727813071565,0.11419170118074354,-1.0394343733753153,0
Bathurst,-0.2232069492310032,0.4656999968280323,Australia,AU,New South Wales,,0.0493149442894227,0.0561962894054444,0.0950592515238158,0.24967993730709573,-0.6859427852444975,0
Queanbeyan,-0.5446600669277017,0.4294048730930589,Australia,AU,New South Wales,,0.0475353181115914,-0.0676837006082511,0.04096138347818842,-0.10900214999057492,-0.9746581368325479,0
