city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z,cluster
Sydney,-0.2971978649580147,0.6380490186149377,Australia,AU,New South Wales,admin,20.773757135760366,20.7390716814777,33.686017917284985,-12.670843816053468,1.0947438193975836,2
Melbourne,-0.9537383814516714,-0.0217595709827277,Australia,AU,Victoria,admin,19.854597893316253,19.40011935221179,31.960836209197804,-11.884815347615667,-0.24642732805837306,2
Brisbane,0.7664755869270135,0.8301617704682397,Australia,AU,Queensland,admin,9.781799799287594,10.063782512510592,16.922278489543906,-4.329803574875029,1.9996142616941408,4
Perth,0.02084668246362,-3.0960917601776745,Australia,AU,Western Australia,admin,7.995495112621192,8.682044824500766,15.353256600705533,-0.4135675333482368,-2.325578454501284,4
Adelaide,-0.4740943486478287,-0.693789772385214,Australia,AU,South Australia,admin,5.191672462507674,5.482133826504638,9.7139546599931,-1.0730328029528882,-0.8812999436171243,4
Gold Coast,0.6752090394156505,0.8694462772116525,Australia,AU,Queensland,,2.572714865485118,2.651766785099412,4.214963839145928,-1.643799212684223,1.6109987278242461,1
Canberra,-0.5346505093394642,0.418070569319014,Australia,AU,Australian Capital Territory,primary,1.5810623739029914,1.5473699815176332,2.11760869754201,-2.0365650825465607,-0.159093324434121,0
Newcastle,-0.1395223921851491,0.695153628309718,Australia,AU,New South Wales,,1.1708212188340987,0.5639049765463123,1.043281259068771,-1.5915310167834027,0.4900644859327223,0
Wollongong,-0.3916568295074872,0.6035813268957276,Australia,AU,New South Wales,,1.09406158111082,1.1503239182600349,1.3700228514820887,-1.8244571007753225,0.1415673654237704,0
Geelong,-1.0096721883068769,-0.0865224940383496,Australia,AU,Victoria,,0.9390455339782722,0.7294168723169645,1.006513713031047,-1.4924321488135952,-1.1503069900993703,0
Hobart,-1.7962371904151924,0.2277324335272577,Australia,AU,Tasmania,admin,0.8489328071193456,0.8624771430067264,0.7611717301931357,-2.341435021073397,-1.7352062022087893,0
Townsville,2.13179919456922,0.1742087455281007,Australia,AU,Queensland,,0.615098570128456,0.6743653157639582,1.5552883887137874,1.220148643369422,2.514352360666268,1
Ipswich,0.7417177277095931,0.8025495896058354,Australia,AU,Queensland,,0.5450920833978748,0.6070131299694155,0.9625700053549913,-0.29334646285600324,1.5419519815333784,1
Cairns,2.5185638441705707,0.0635065054982662,Australia,AU,Queensland,,0.5047421044298727,0.5371947928258873,1.4725187987186465,1.6709472079123873,2.835408163052324,1
Toowoomba,0.750031313746336,0.7162800099947997,Australia,AU,Queensland,,0.4424041172558624,0.4892188956406506,0.8136201847472416,-0.14427887076038817,1.4709511304151466,1
Darwin,3.265489668055696,-1.5134933817664291,Australia,AU,Northern Territory,admin,0.4422744756137687,0.4943706987204683,2.017594198252829,3.6352170326358206,2.2672878692974154,1
Ballarat,-0.9099091558659624,-0.1393384482510568,Australia,AU,Victoria,,0.319087415882521,0.3295947748183615,0.20034630449340537,-1.0547279635424396,-1.10925850754108,0
Bendigo,-0.7768917792780772,-0.0953216320101875,Australia,AU,Victoria,,0.2941451496506209,0.3168723605293546,0.18357616991738177,-0.986002820127181,-0.9259720909301484,0
Launceston,-1.5570220657939529,0.2087186900106853,Australia,AU,Tasmania,,0.2478120124732653,0.281326210457329,-0.13913729324167753,-1.7906505942181863,-1.5144445486521965,0
Mackay,1.8184268825002337,0.4243239782977989,Australia,AU,Queensland,,0.2196051339813701,-0.0787792297141576,0.5186298146586464,1.111965612158925,2.368933093086613,1
Rockhampton,1.4469924855506369,0.5643496361065262,Australia,AU,Queensland,,0.2134923341299231,0.2437270862256768,0.624421413372713,0.6358057359103028,2.0904959227845996,1
Maitland,-0.1062680480381784,0.6740272466246363,Australia,AU,New South Wales,,0.2112255696605884,-0.086414399859184,-0.2708627428087722,-1.0462889074615778,0.4737156371131839,0
Bunbury,-0.208791191043291,-3.119922318718448,Australia,AU,Western Australia,,0.196878561268889,0.2114390104489077,1.9399221523377537,3.8311267886921043,-2.9357061515010607,3
Coffs Harbour,0.2951950216761346,0.8397531477532675,Australia,AU,New South Wales,,0.1868961548276765,0.0163074749160955,0.11207314320912319,-0.36575230891996074,1.0677209772118095,1
Bundaberg,1.2017416974667223,0.758532773364966,Australia,AU,Queensland,,0.1833565451450585,0.2090718494682061,0.46246575480361196,0.3073383800463781,1.9912006648544862,1
Wagga Wagga,-0.5056859755874512,0.2323696743071343,Australia,AU,New South Wales,,0.126475292542809,0.1396537777268694,-0.13562357281022905,-0.9755268431518436,-0.34893994034391035,0
Hervey Bay,1.1293636174308392,0.8137571350897747,Australia,AU,Queensland,,0.1195296433542755,0.1407857110685503,0.324345731623568,0.24665099136668997,1.9577748702584767,1
Shepparton,-0.7159199392846048,0.0243910098083366,Australia,AU,Victoria,,0.1075751125393957,0.0397423686250408,-0.20593140985422015,-0.9094749373546944,-0.7633860156009985,0
Albury,-0.6655894894181633,0.1845078565995782,Australia,AU,New South Wales,,0.0932084614746518,-0.0738512309452426,-0.33798772442912023,-0.97918789091147,-0.5701116948366429,0
Port Macquarie,0.1071250783529377,0.8166303229989452,Australia,AU,New South Wales,,0.0932045329400429,0.0984178334430484,0.05440313251975342,-0.47092738984263877,0.8407362921553578,1
Pakenham,-0.99656997671297,0.0336654913680867,Australia,AU,Victoria,,0.0871074472270316,0.1052653845708596,-0.23907276604116362,-1.1303431634905459,-1.0616968488879197,0
Tamworth,0.1653201806101374,0.6071305590188193,Australia,AU,New South Wales,,0.0731650779000488,-0.0937525988993588,-0.026242027872379108,-0.1850649512347136,0.7170657695889113,1
Caloundra,0.8777446224427798,0.8408094668375207,Australia,AU,Queensland,,0.0669619217525972,0.0831948363726095,0.17477566461516833,0.0751834195043576,1.7040237953717459,1
Orange,-0.2004776050065474,0.415229070982369,Australia,AU,New South Wales,,0.063819094065478,0.0694394791102056,-0.2330661990269333,-0.8772587089126798,0.14260119277793987,0
Dubbo,-0.0298163108442908,0.3625293118689306,Australia,AU,New South Wales,,0.0555652428521811,0.0707091381816728,-0.18779066124544233,-0.7054219386119103,0.2828890826068001,0
Geraldton,0.5492249566148493,-3.2281316457094427,Australia,AU,Western Australia,,0.0526424131031602,0.067507014964142,1.8992644798046128,4.5601880427534205,-2.207298574883546,3
Nowra,-0.466512358182319,0.5736769336204908,Australia,AU,New South Wales,,0.0517467072123312,-0.0549612863192442,-0.4368761882499761,-1.1709672232979935,-0.011777297356930267,0
Bathurst,-0.2232069492310032,0.4656999968280323,Australia,AU,New South Wales,,0.0493149442894227,0.0561962894054444,-0.27555673206106746,-0.9297060815430543,0.1614257186005744,0
Queanbeyan,-0.5446600669277017,0.4294048730930589,Australia,AU,New South Wales,,0.0475353181115914,-0.0676837006082511,-0.4227985520348585,-1.0947832696459472,-0.22409175279322996,0
Frankston,-1.0110023620727562,-0.0036014459243996,Australia,AU,Victoria,,0.0465492559247577,0.0608316209985636,-0.2991671279920063,-1.0819551846107398,-1.1118857204209998,0
Sunbury,-0.9150802063808168,-0.0480830425623412,Australia,AU,Victoria,,0.046498184974842,0.060775669920838,-0.2656839296358998,-0.9735896072389192,-1.0459670474168252,0
Warrnambool,-1.048463380754319,-0.2837055774960687,Australia,AU,Victoria,,0.0430803598650999,0.0331315335952997,-0.24572991530830465,-0.8526280493161501,-1.399035219320576,0
Wodonga,-0.6723733756241462,0.1815818527361963,Australia,AU,Victoria,,0.0427503629579523,-0.0129764583797104,-0.3400759231703387,-0.98076573599309,-0.5803553581531934,0
Albany,-0.4897072632248314,-2.8824512253872743,Australia,AU,Western Australia,,0.0391164684447207,0.0318920020272233,1.5389440484277115,3.5213807968506354,-3.0415495896126203,3
Gladstone,1.3681963170943878,0.6436580729523272,Australia,AU,Queensland,,0.0360247117075172,0.0493013950580192,0.2852190401814293,0.622023615897222,2.0663233445574476,1
Mildura,-0.3510532753040341,-0.3180359477343302,Australia,AU,Victoria,,0.0333533081734658,0.0463747233000609,-0.08789562061105172,-0.3207905367348883,-0.666272277049631,0
Southport,0.6835226254523934,0.8694462772116525,Australia,AU,Queensland,,0.0300926244480796,0.0428024621837295,0.06323028799721328,-0.06638696526501321,1.5151143823749347,1
Dandenong,-0.9815722675026868,0.0048491067496347,Australia,AU,Victoria,,0.0222276981610637,0.0341859962139759,-0.3364630824161114,-1.0527629045554814,-1.073313150095616,0
Kalgoorlie,0.220921444023874,-2.503824212827219,Australia,AU,Western Australia,,0.0220037716883564,0.0339406722577941,1.5605882565399292,3.703226390823111,-1.9325487811174755,3
Mount Gambier,-0.956365474639282,-0.4633326377734866,Australia,AU,South Australia,,0.0211787794204876,0.0152745319426984,-0.20474616330324488,-0.6152934571306595,-1.4566425135230325,0
Lismore,0.5421916628277647,0.8571190334984057,Australia,AU,New South Wales,,0.0175684561149094,-0.0791235440386233,-0.06156672194482001,-0.11993008416908886,1.3474171348557333,1
Maryborough,1.087429889461508,0.7957046419398695,Australia,AU,Queensland,,0.0119192233473125,-0.0282209750954284,0.10310486741873995,0.3147928730980283,1.8906797793743635,1
Quakers Hill,-0.2754827782300422,0.6031376728803381,Australia,AU,New South Wales,,0.0111256593563149,0.0220230927022257,-0.3867107091180286,-1.0665617194281838,0.22327147592156238,0
Gawler,-0.4190916634287385,-0.6785893407627966,Australia,AU,South Australia,,0.0087371103141043,-0.091729752243123,-0.11491038098912151,-0.005285263756898908,-1.059731293753517,0
Caboolture,0.8331671741137646,0.8237076608634488,Australia,AU,Queensland,,0.0085838974643572,0.0192384506031096,0.07227126246375383,0.09540574814860285,1.6377873106131324,1
Ballina,0.539431552263566,0.8835270106047592,Australia,AU,New South Wales,,0.0083796136646945,-0.0815165285936597,-0.0800554919361169,-0.14148383045137894,1.3672909404825733,1
Taree,0.02952606628598,0.7690959642075069,Australia,AU,New South Wales,,0.0083796136646945,-0.024816567212274,-0.4085971889059015,-0.9802189219387932,0.7016288064375112,0
