city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z,cluster
Wagga Wagga,-0.5056859755874505,0.2323696743071322,Australia,AU,New South Wales,,0.1264752925428091,0.1396537777268695,0.24198963462115594,-0.26279037898479907,-0.7432500593367257,0
Hervey Bay,1.12936361743084,0.8137571350897725,Australia,AU,Queensland,,0.1195296433542756,0.1407857110685504,0.18440007066311825,1.930148404032738,0.3285845425493735,1
Shepparton,-0.7159199392846042,0.0243910098083346,Australia,AU,Victoria,,0.1075751125393958,0.0397423686250409,0.1545930740224223,-0.6794195451295076,-0.7483603021613163,0
Albury,-0.6655894894181626,0.1845078565995762,Australia,AU,New South Wales,,0.0932084614746519,-0.0738512309452426,0.05058728814153241,-0.47268407399464163,-0.8601069832912427,0
Port Macquarie,0.1071250783529384,0.8166303229989431,Australia,AU,New South Wales,,0.093204532940043,0.0984178334430485,0.1559039437152375,0.9220649608815391,-0.7113245533887891,1
Pakenham,-0.9965699767129692,0.0336654913680846,Australia,AU,Victoria,,0.0871074472270317,0.1052653845708597,0.1933591143234029,-0.9468038767513965,-1.0416634969233072,0
Tamworth,0.1653201806101381,0.6071305590188172,Australia,AU,New South Wales,,0.0731650779000489,-0.0937525988993588,-0.011348225876394375,0.7674759341259538,-0.44392568633553603,1
Caloundra,0.8777446224427805,0.8408094668375186,Australia,AU,Queensland,,0.0669619217525973,0.0831948363726096,0.09650727007628304,1.706276740569317,0.044926721182930375,1
Orange,-0.2004776050065468,0.4152290709823669,Australia,AU,New South Wales,,0.0638190940654781,0.0694394791102057,0.11737052710701715,0.21778448082543198,-0.6196614235542937,0
Dubbo,-0.0298163108442902,0.3625293118689285,Australia,AU,New South Wales,,0.0555652428521812,0.0707091381816729,0.10590010407502802,0.33372497208567337,-0.3937018047254745,0
Geraldton,0.5492249566148499,-3.228131645709445,Australia,AU,Western Australia,,0.0526424131031603,0.0675070149641421,0.11244225535972023,-2.6661059053869747,3.80872010950999,3
Nowra,-0.4665123581823184,0.5736769336204887,Australia,AU,New South Wales,,0.0517467072123313,-0.0549612863192442,0.0163904588655898,0.11029258740533657,-1.0505024194290884,0
Bathurst,-0.2232069492310026,0.4656999968280302,Australia,AU,New South Wales,,0.0493149442894228,0.0561962894054445,0.0934691375057785,0.24495453308047904,-0.6938680556407643,0
Queanbeyan,-0.5446600669277011,0.4294048730930568,Australia,AU,New South Wales,,0.0475353181115915,-0.0676837006082511,0.00594204852628269,-0.11070863782046211,-0.9846483523911794,0
Frankston,-1.0110023620727555,-0.0036014459244017,Australia,AU,Victoria,,0.0465492559247578,0.0608316209985637,0.12082502459513357,-0.9998836400047136,-1.0198240275118458,0
Sunbury,-0.915080206380816,-0.0480830425623433,Australia,AU,Victoria,,0.0464981849748421,0.0607756699208381,0.11831955049924556,-0.949396890763417,-0.8778058689882637,0
Warrnambool,-1.0484633807543184,-0.2837055774960708,Australia,AU,Victoria,,0.0430803598651,0.0331315335952998,0.09946558727327433,-1.316040540212078,-0.7761226439156084,0
Wodonga,-0.6723733756241456,0.1815818527361942,Australia,AU,Victoria,,0.0427503629579524,-0.0129764583797104,0.04910698145890449,-0.4825637975979993,-0.8639734686007401,0
Albany,-0.4897072632248307,-2.8824512253872765,Australia,AU,Western Australia,,0.0391164684447208,0.0318920020272234,0.09922279547988337,-3.34925673066154,2.406952156885717,3
Gladstone,1.3681963170943885,0.6436580729523251,Australia,AU,Queensland,,0.0360247117075173,0.0493013950580193,0.028056488713720892,1.993210084775051,0.7397748788496235,1
Mildura,-0.3510532753040334,-0.3180359477343323,Australia,AU,Victoria,,0.0333533081734659,0.046374723300061,0.08045719719365195,-0.6614431930897353,-0.03460970047567864,0
Southport,0.6835226254523941,0.8694462772116504,Australia,AU,Queensland,,0.0300926244480797,0.0428024621837296,0.03529713584636321,1.5413474138558472,-0.18173829631516797,1
Dandenong,-0.981572267502686,0.0048491067496327,Australia,AU,Victoria,,0.0222276981610638,0.034185996213976,0.07598538774503959,-0.9634662229186594,-0.9991358110287556,0
Kalgoorlie,0.2209214440238747,-2.503824212827221,Australia,AU,Western Australia,,0.0220037716883565,0.0339406722577942,0.060825738324246204,-2.2712135288699598,2.7458129119572074,3
Mount Gambier,-0.9563654746392812,-0.4633326377734887,Australia,AU,South Australia,,0.0211787794204877,0.0152745319426985,0.06340792320649785,-1.404603185749383,-0.5023945781915033,0
Lismore,0.5421916628277653,0.8571190334984036,Australia,AU,New South Wales,,0.0175684561149095,-0.0791235440386233,-0.06645266885751634,1.3871769133288625,-0.31419298766458564,1
Maryborough,1.0874298894615086,0.7957046419398673,Australia,AU,Queensland,,0.0119192233473126,-0.0282209750954284,-0.04793858571881839,1.8652715007671745,0.3008463276120437,1
Quakers Hill,-0.2754827782300415,0.603137672880336,Australia,AU,New South Wales,,0.011125659356315,0.0220230927022258,0.030818379764523996,0.3285050942822696,-0.8861514219220877,0
Gawler,-0.4190916634287379,-0.6785893407627988,Australia,AU,South Australia,,0.0087371103141044,-0.091729752243123,-0.044734689855159625,-1.0901762303765736,0.2575185618595231,0
Caboolture,0.8331671741137653,0.8237076608634467,Australia,AU,Queensland,,0.0085838974643573,0.0192384506031097,-0.007499415306417039,1.6427111219076118,0.015440961790433578,1
Ballina,0.5394315522635666,0.8835270106047571,Australia,AU,New South Wales,,0.0083796136646946,-0.0815165285936597,-0.07726943138311713,1.4104470916392633,-0.34373023516400414,1
Taree,0.0295260662859807,0.7690959642075048,Australia,AU,New South Wales,,0.0083796136646946,-0.024816567212274,-0.01800124739763743,0.793970015649976,-0.7446870406181942,0
Traralgon,-1.0172874331165327,0.1448430749858343,Australia,AU,Victoria,,0.004859646655121,0.0127825570193782,0.04270844344381943,-0.8602809718298055,-1.1767834393455958,0
Busselton,-0.2610836472144022,-3.1502914923907577,Australia,AU,Western Australia,,0.0042467952561328,0.0144869129254833,0.04779429128210076,-3.3910488676830024,2.907727570539353,3
Armidale,0.2623064753147804,0.6845904374671751,Australia,AU,New South Wales,,0.0010057542037911,0.010936171454431,-0.0036155386518436088,0.9402148180666469,-0.42331468160841085,1
Goulburn,-0.445129814895816,0.470009778691786,Australia,AU,New South Wales,,-0.0016224354495623,0.0019624793730442,0.009054267229420316,0.027886103186234624,-0.9244636347461125,0
Alice Springs,1.392954176311809,-1.1938934796344978,Australia,AU,Northern Territory,,-0.0020506457219323,0.0075877146490022,-0.026824050835032278,0.18822807641954437,2.614174728668159,1
Devonport,-1.5135752651659342,0.124361047942145,Australia,AU,Tasmania,,-0.0047220492559837,0.0046610428910439,0.04170991110209962,-1.3711710851988324,-1.6594320116814865,0
Bacchus Marsh,-0.9306931209578188,-0.0771318173793328,Australia,AU,Victoria,,-0.0079552332391076,-0.0670079837464872,-0.031790067581156545,-0.9971943933452087,-0.8666087337799661,0
Whyalla,-0.1589096748228325,-0.8030554184604654,Australia,AU,South Australia,,-0.009844858385988,-0.0009512805977465,0.0007539789345387455,-0.9559922921460071,0.6474102864078551,0
Cessnock,-0.1258049752245234,0.6534818404358905,Australia,AU,New South Wales,,-0.0099116434743393,-0.0292065748492114,-0.03358805679088095,0.5250290249053134,-0.7860098229820587,0
Gympie,0.9789375916820144,0.7918596404731838,Australia,AU,Queensland,,-0.0104066388350606,-0.0480319605393724,-0.0815198571343699,1.753407757967272,0.1942205666192118,1
Griffith,-0.3678633462703278,0.0919954312005984,Australia,AU,New South Wales,,-0.0157023034878565,-0.0162130130296878,-0.017716599146079526,-0.2724647543011119,-0.4659074774805663,0
Kwinana,-0.0269065557314305,-3.105461310455011,Australia,AU,Western Australia,,-0.0163505116983249,-0.018997655128804,-0.0049202132072328824,-3.1162529499088234,3.0992885599994464,3
Burnie,-1.4941214738399564,0.0745978558829345,Australia,AU,Tasmania,,-0.0191044144591631,-0.0110956413823166,0.015570168491466892,-1.4020800579662371,-1.5899795400551286,0
Wangaratta,-0.7117631462662329,0.1207801262465247,Australia,AU,Victoria,,-0.0193676262779593,-0.0197379309264052,-0.014268225612359992,-0.5836241859068265,-0.8435679300612776,0
Grafton,0.3981005896389384,0.8201478655495091,Australia,AU,New South Wales,,-0.0203104745840951,-0.0497320125164217,-0.07583348041419831,1.2076245011393532,-0.42316592393611363,1
Yeppoon,1.4871803604522529,0.5877576670135984,Australia,AU,Queensland,,-0.0206051146797625,-0.0672662194898364,-0.11918155672855393,2.051763725353517,0.9145457967827938,1
Murray Bridge,-0.5053700593180545,-0.6234494845647333,Australia,AU,South Australia,,-0.0214851064321559,-0.0318620990766529,-0.02568176255719474,-1.1203143782004688,0.11485789985767118,0
Mount Isa,1.8862324902159096,-0.5988372499016112,Australia,AU,Queensland,,-0.0222354565424557,-0.0940194425008197,-0.1434318113433184,1.2651034827525267,2.51352250057527,1
Narangba,0.8107537461587068,0.8235492130008063,Australia,AU,Queensland,,-0.0222943845615891,-0.0145904317756433,-0.062616573402116,1.6190798035070078,-0.007923005912706943,1
Mount Eliza,-1.016156785415536,-0.0081436179866922,Australia,AU,Victoria,,-0.024985430768685,-0.0175386231788807,-0.008178826081395958,-1.0125916908073138,-1.0223390998654642,0
Broken Hill,0.0200984597203138,-0.3909747805020795,Australia,AU,New South Wales,,-0.0255904250984554,-0.0182014282534771,-0.036117987453997163,-0.36999339732016795,0.4135087913937595,0
Nerang,0.6787173727231567,0.8612069883544677,Australia,AU,Queensland,,-0.0290082502081976,-0.0219458465320414,-0.07123248453368597,1.5258454751310395,-0.17985267403253086,1
Karratha,1.885717047881632,-2.9917802506075803,Australia,AU,Western Australia,,-0.0296211016071859,-0.0226172594647494,-0.0765463555979045,-1.1146363495979907,4.923291341745092,3
Mount Barker,-0.4970065917650911,-0.6674979903781313,Australia,AU,South Australia,,-0.0299314558412889,-0.0349523201387324,-0.036081844608167206,-1.1561331037593119,0.16754240976008758,0
Horsham,-0.7713549309776063,-0.3136310971529934,Australia,AU,Victoria,,-0.0303832373213123,-0.0319352658706019,-0.02909201732496541,-1.0750592868913622,-0.46683611282987225,0
Lara,-0.98750816793292,-0.0794768457463768,Australia,AU,Victoria,,-0.0310078743241272,-0.0241365464214542,-0.01931476753658678,-1.0555128774525722,-0.921629004764046,0
Singleton,-0.0813272899279482,0.6338554318504485,Australia,AU,New South Wales,,-0.0310432311356073,-0.0730076608503016,-0.08877611429797776,0.5481773849756828,-0.7219591788298128,0
