city,lat,lng,country,iso2,admin_name,capital,population,population_proper,x,y,z
Karratha,1.8857170478816316,-2.9917802506075803,Australia,AU,Western Australia,,-0.0296211016071859,-0.0226172594647494,1.8857170478816316,-2.9917802506075803,-0.0296211016071859
Mount Barker,-0.4970065917650911,-0.6674979903781313,Australia,AU,South Australia,,-0.0299314558412889,-0.0349523201387324,-0.4970065917650911,-0.6674979903781313,-0.0299314558412889
Horsham,-0.7713549309776063,-0.3136310971529934,Australia,AU,Victoria,,-0.0303832373213123,-0.0319352658706019,-0.7713549309776063,-0.3136310971529934,-0.0303832373213123
Lara,-0.98750816793292,-0.0794768457463768,Australia,AU,Victoria,,-0.0310078743241272,-0.0241365464214542,-0.98750816793292,-0.0794768457463768,-0.0310078743241272
Singleton,-0.0813272899279482,0.6338554318504485,Australia,AU,New South Wales,,-0.0310432311356073,-0.0730076608503016,-0.0813272899279482,0.6338554318504485,-0.0310432311356073
Port Lincoln,-0.4413887011792816,-0.983485281241916,Australia,AU,South Australia,,-0.0311218018277853,-0.0337558278612142,-0.4413887011792816,-0.983485281241916,-0.0311218018277853
Banora Point,0.6409903192884175,0.8840868597194125,Australia,AU,New South Wales,,-0.0317464388306003,-0.0249456850839486,0.6409903192884175,0.8840868597194125,-0.0317464388306003
Warwick,0.6422041028497821,0.7252798485926444,Australia,AU,Queensland,,-0.0348381955678038,-0.0419246852091624,0.6422041028497821,0.7252798485926444,-0.0348381955678038
Rochedale,0.7452925697053937,0.8402179281503376,Australia,AU,Queensland,,-0.0350856932481645,-0.0286040247813964,0.7452925697053937,0.8402179281503376,-0.0350856932481645
Kempsey,0.1653201806101381,0.8095846747069683,Australia,AU,New South Wales,,-0.0351171215250357,-0.0924872437569475,0.1653201806101381,0.8095846747069683,-0.0351171215250357
Ulladulla,-0.5438785898402474,0.5597123953266506,Australia,AU,New South Wales,,-0.0352389060979115,-0.0287718780145735,-0.5438785898402474,0.5597123953266506,-0.0352389060979115
Sale,-1.001358602270134,0.200447711580972,Australia,AU,Victoria,,-0.0358006865469841,-0.0356796841491661,-1.001358602270134,0.200447711580972,-0.0358006865469841
