city,x,y,country,iso2,admin_name,capital,z,population_proper,cluster
Gawler,-0.8513814959872409,-0.830630028471202,Australia,AU,South Australia,,0.24930426914377823,-0.091729752243123,0
Caboolture,1.2361490180202248,1.4684756580693825,Australia,AU,Queensland,,-0.4770774537127782,0.0192384506031097,1
Ballina,1.1003774035339302,1.495743706653864,Australia,AU,New South Wales,,-0.5290935755582946,-0.0815165285936597,1
Taree,-0.5165863103002418,-0.56117263841765,Australia,AU,New South Wales,,-0.705821248785515,-0.024816567212274,0
Traralgon,-0.7198350670503758,-0.9350467147330394,Australia,AU,Victoria,,-0.3461752230023333,0.0127825570193782,0
Busselton,-0.10585915462251907,-0.20720362882569424,Australia,AU,Western Australia,,3.3035725668007863,0.0144869129254833,3
Armidale,1.1241518152668835,1.3206882511879674,Australia,AU,New South Wales,,-0.41533280589136684,0.010936171454431,1
Goulburn,-0.6017658907381231,-0.7410544698853511,Australia,AU,New South Wales,,-0.5323558328835549,0.0019624793730442,0
Alice Springs,1.0245663480316058,1.3014556058881077,Australia,AU,Northern Territory,,0.9177593111703671,0.0075877146490022,1
Devonport,-0.8042880991391947,-1.0471671027151936,Australia,AU,Tasmania,,-0.3602497335573963,0.0046610428910439,0
Bacchus Marsh,-0.8188780643039986,-0.8789787839416147,Australia,AU,Victoria,,-0.18715955631785053,-0.0670079837464872,0
Whyalla,-0.7407522342930765,-0.865922149252987,Australia,AU,South Australia,,0.3437087484202009,-0.0009512805977465,0
Cessnock,-0.5610798404745707,-0.6104744176096928,Australia,AU,New South Wales,,-0.6362825900827134,-0.0292065748492114,0
Gympie,1.1844620082294228,1.5571394245637142,Australia,AU,Queensland,,-0.4436274233334452,-0.0480319605393724,1
Griffith,-0.6622636790873163,-0.7642749801958822,Australia,AU,New South Wales,,-0.2716827395417548,-0.0162130130296878,0
Kwinana,-0.10011494652776416,-0.11512511374953398,Australia,AU,Western Australia,,3.288591913980158,-0.018997655128804,3
Burnie,-0.8250862792543563,-1.0357296653306154,Australia,AU,Tasmania,,-0.32461523125523883,-0.0110956413823166,0
Wangaratta,-0.712493003575452,-0.8373795741877552,Australia,AU,Victoria,,-0.31058261462314674,-0.0197379309264052,0
Grafton,1.1008167039468386,1.4271015403142389,Australia,AU,New South Wales,,-0.49579264836113823,-0.0497320125164217,1
Yeppoon,1.2106633064877461,1.6624951437132378,Australia,AU,Queensland,,-0.2756832342269107,-0.0672662194898364,1
Murray Bridge,-0.7982822873335398,-0.89235509645521,Australia,AU,South Australia,,0.20431076844178536,-0.0318620990766529,0
Mount Isa,1.0768248527211584,1.5975913110820648,Australia,AU,Queensland,,0.5496307425466771,-0.0940194425008197,1
Narangba,1.1969546267282856,1.4943056998412725,Australia,AU,Queensland,,-0.4762664248924347,-0.0145904317756433,1
Mount Eliza,-0.7733062762871575,-0.9302047366200786,Australia,AU,Victoria,,-0.2410281461665276,-0.0175386231788807,0
Broken Hill,-0.6753039810438322,-0.744842594120238,Australia,AU,New South Wales,,0.07676044987246852,-0.0182014282534771,0
Nerang,1.1750249041416823,1.475826870861615,Australia,AU,Queensland,,-0.5088129046172938,-0.0219458465320414,1
Karratha,0.19199024591472502,0.35553383698705104,Australia,AU,Western Australia,,3.321573620457271,-0.0226172594647494,3
Mount Barker,-0.8068357450883361,-0.893956695261794,Australia,AU,South Australia,,0.23475418987040905,-0.0349523201387324,0
