city,x,y,country,iso2,admin_name,capital,z,population_proper,cluster
Sydney,21.631740266162222,-19.94599127741211,Australia,AU,New South Wales,admin,-0.10261079814597636,20.7390716814777,2
Melbourne,20.344586408727373,-18.53868851538797,Australia,AU,Victoria,admin,-0.47628957586076137,19.40011935221179,2
Brisbane,13.456410139780656,-6.528608936896456,Australia,AU,Queensland,admin,1.1714623919118805,10.063782512510592,4
Perth,12.193401281805968,-4.9290711064065995,Australia,AU,Western Australia,admin,-0.8301596492836834,8.682044824500766,4
Adelaide,9.038461243553133,-1.7211960159765594,Australia,AU,South Australia,admin,0.3927969730961854,5.482133826504638,4
Gold Coast,3.0258531394717574,-2.2698474264993083,Australia,AU,Queensland,,1.324516127448099,2.651766785099412,1
Canberra,0.8501777768118807,-2.319030058394594,Australia,AU,Australian Capital Territory,primary,-0.35895237906048655,1.5473699815176332,0
Newcastle,-0.10543493724646226,-1.3065616864978105,Australia,AU,New South Wales,,-0.13993312655611445,0.5639049765463123,0
Wollongong,0.4618609309771758,-1.9119556830493278,Australia,AU,New South Wales,,-0.2356050586298905,1.1503239182600349,0
Geelong,0.06534948852910986,-1.4555513397330244,Australia,AU,Victoria,,-0.6472095292596957,0.7294168723169645,0
Hobart,0.18267352578762877,-1.618967560761455,Australia,AU,Tasmania,admin,-0.5995248820737702,0.8624771430067264,0
Townsville,1.1313774843419293,-0.16167276581987672,Australia,AU,Queensland,,1.2342077675114784,0.6743653157639582,1
Ipswich,1.044930751615185,-0.14167902191306536,Australia,AU,Queensland,,1.3632256161195357,0.6070131299694155,1
Cairns,1.0029758643387146,-0.008250191999952663,Australia,AU,Queensland,,1.2348523377768292,0.5371947928258873,1
Toowoomba,0.9326037449621289,-0.015443145460141024,Australia,AU,Queensland,,1.3251739878133297,0.4892188956406507,1
Darwin,0.9987018169578197,0.1180356900685121,Australia,AU,Northern Territory,admin,0.5537070907837641,0.4943706987204684,1
Ballarat,-0.3212725856546534,-1.034995641111013,Australia,AU,Victoria,,-0.6473921168997511,0.3295947748183616,0
