city,x,y,country,iso2,admin_name,capital,z,population_proper,cluster
Mackay,0.05402791798783138,1.5850866455860906,Australia,AU,Queensland,,0.9922776254807595,-0.0787792297141576,3
Rockhampton,0.28568454542612104,1.4271519471882121,Australia,AU,Queensland,,0.633116877185163,0.2437270862256769,3
Maitland,0.08656485243667829,0.4056417763668065,Australia,AU,New South Wales,,-0.5499354390765677,-0.086414399859184,0
Bunbury,0.3132108797800482,-2.3556397017930806,Australia,AU,Western Australia,,2.055081286547,0.2114390104489078,1
Coffs Harbour,0.13149619026097786,0.8072756965120654,Australia,AU,New South Wales,,-0.3810000808211686,0.0163074749160956,3
Bundaberg,0.24443595587130035,1.3911812643630697,Australia,AU,Queensland,,0.3215749198690829,0.2090718494682062,3
Wagga Wagga,0.19869841539961627,-0.18749462895788185,Australia,AU,New South Wales,,-0.5203947087179707,0.1396537777268695,0
Hervey Bay,0.15236351421906208,1.3774066877625757,Australia,AU,Queensland,,0.2301115176732552,0.1407857110685504,3
Shepparton,0.12093220064547189,-0.484989066225428,Australia,AU,Victoria,,-0.5241115603514166,0.0397423686250409,0
Albury,0.02824485185973047,-0.3376903973346099,Australia,AU,New South Wales,,-0.6025240794441137,-0.0738512309452426,0
Port Macquarie,0.1278888633057004,0.6580028507577153,Australia,AU,New South Wales,,-0.4980521039430382,0.0984178334430485,3
Pakenham,0.15936273834898076,-0.6755957892762562,Australia,AU,Victoria,,-0.7293337367574523,0.1052653845708597,0
Tamworth,-0.022257912085112755,0.5472897790948347,Australia,AU,New South Wales,,-0.31111533310264067,-0.0937525988993588,3
Caloundra,0.08022444165813458,1.2176408628041178,Australia,AU,Queensland,,0.0314880671094195,0.0831948363726096,3
Orange,0.09638096946066606,0.1554269992616416,Australia,AU,New South Wales,,-0.43387106767196953,0.0694394791102057,0
Dubbo,0.08774323261033394,0.23818349867068586,Australia,AU,New South Wales,,-0.2756398618336354,0.0707091381816729,0
Geraldton,0.09219418297293275,-1.9025214179640269,Australia,AU,Western Australia,,2.6668497874615307,0.0675070149641421,1
Nowra,0.005149854869210786,0.07846325324549588,Australia,AU,New South Wales,,-0.7357332790673959,-0.0549612863192442,0
